id;name
1;1859
2;1918
3;1948
4;1957
5;1968
6;1978
7;1983
8;1994
9;2001
10;2009
11;2015
12;2016
13;1900
14;1945
15;1960
16;1970
17;1980
18;1985
19;1995
20;2000
21;2009
0;unknown
